season,mean,std,min,max,count
Dry,3.117128018738219e-05,1.1885505647639115e-05,3.802910068145845e-06,7.310430681097086e-05,808
Wet,1.7489624168237743e-05,6.553255400126308e-06,4.056004459685913e-07,4.255120209249018e-05,1163
